id,did,data_indicator,name,length_bytes,default_hex,verify_if_secured,customer_data,description
DID0002,0002,0000,DID_02,32,FFFFFFEFDFFFFC7FFFDFFFFFFF7F7EE7C7FFFFFE7F5FD7FF5FBFFEB1F7FD7D01,false,false,This DID enables or disables individual display warnings.
DID0003,0003,0000,DID_03,32,880007D2E9010FFA0F00CFFFE40180FCBFF1E7FFE7FFFFFFFF1FEE0000007D00,false,false,This DID enables or disables 'Extended Set' warnings
DID0090,0090,0090,DID_90,17,0000000000000000000000000000000000,false,false,This DID contains the Vehicle Identification Number. It shall be write protected via security access and shall be impemented according to GMW 3110.
DID009c,009C,009C,DID_9C,4,00000000,false,false,This DID contains the XML Data File Part Number. It shall be implemented according to GMW 3110.
DID009d,009D,009D,DID_9D,2,0000,false,false,This DID contains the XML Data File Alpha Code. It shall be implemented according to GMW 3110.
DID00a0,00A0,0000,DID_A0,1,FE,false,false,"This DID shall be implemented according to the GGSE ECU Diagnostic Infrastucture document and GMW 3110. The MEC shall be supported during ECU development and production by all nodes which implement the SecurityAccess ($27) service. The MEC is a single byte in permanent (EEPROM or equivalent) memory which allows a node to remain unlocked as long as its value is not $00. When the value of the MEC becomes $00, security shall be enabled and the SecurityAccess ($27) service shall be required to access security. The MEC counter shall be decremented each time system power mode transition from System Power Mode ""RUN"" to either System Power Mode ""ACC"" or ""OFF"". A node shall not allow the value of the MEC to change once it becomes $00 unless SecurityAccess ($27) is successfully initiated (Security_Access_Unlocked is set to TRUE). Note: MEC should not be written to $FF value in the production ECUs. In development ECUs its allowed to write to $FF."
DID00a1,00A1,0000,DID_A1,20,1F11F0FFFFFF7FE05F3D210A0000000106002801,false,false,This DID is used for enabling and disabling menues on the display. It shall be write protected via security access.
DID00a2,00A2,0000,DID_A2,12,FEF70C800100000000000000,false,false,This DID is used for masking DTCs/FTBs in the ECU. A bit set to zero means that the DTC/FTB is disabled. Note: If DTC is triggered and then masked in this DID the DTC status byte will not be changed. The service $04 should be sent to the IPC after an update of this DID.
DID00a3,00A3,0000,DID_A3,8,3FFDF31C1C004086,false,false,This DID is used for enabling and disabling menues on the display. It shall be write protected via security access.
DID00a4,00A4,0000,DID_A4,11,9A9A3F0120460000000000,false,false,This DID is used for enabling and disabling functionality. It shall be write protected via security access.
DID00a5,00A5,0000,DID_A5,32,09B1001083D1C0106C091100000000800004000000011D00E80000F078532000,false,false,This DID is used to set functionality controls. It shall be write protected via security access.
DID00a6,00A6,0000,DID_A6,12,F3FFFFF36EEFDF00B8030000,false,false,This DID enables or disables Indicator.
DID00a7,00A7,0000,DID_A7,1,01,false,false,This DID is used to set the configuration flag. It indicates if the IPC configuration was done or if it needs to be configured.
DID00a8,00A8,0000,DID_A8,5,0000000000,false,false,"This DID is used to set the display unit to any of the below units 0x0 UNIT_METRIC, 0x1 UNIT_US, 0x2 UNIT_IMPERIAL 0x3 reserved"
