id,code,description
OCCT1,CT1,COUNTRY-BELGIUM
OCCT2,CT2,COUNTRY-AUSTRIA
OCCT3,CT3,COUNTRY-GERMANY
OCCT5,CT5,COUNTRY-NETHERLANDS
OCCT6,CT6,COUNTRY-ITALY
OCCT7,CT7,COUNTRY-DENMARK
OCCU3,CU3,COUNTRY-FRANCE
OCCU5,CU5,COUNTRY-SWITZERLAND
OCCV3,CV3,Mexico
OCCW1,CW1,Korea
OCCZ2,CZ2,COUNTRY-CHINA
OCEF7,EF7,COUNTRY-UNITED STATES OF AMERICA (USA)
OCIO6,IO6,"RADIO-INFOTAINMENT SYSTEM - UPLEVEL HMI, ENHANCED CONNECTIVITY, EMBEDDED NAVIGATION"
OCKSG,KSG,"CRUISE CONTROL-AUTOMATIC, ADAPTIVE, WITH STOP/GO"
OCUE1,UE1,ONSTAR
OCUE4,UE4,SENSOR INDICATOR-FOLLOWING DISTANCE
OCUEU,UEU,SENSOR INDICATOR-FORWARD COLLISION ALERT
OCUFG,UFG,SENSOR INDICATOR-REAR CROSS TRAFFIC ALERT
OCUFQ,UFQ,"PARK ASSIST-FRONT, REAR, LATERAL-FRONT (SEMIAUTOMATIC STEERING ADVANCED PARKING AID)"
OCUHX,UHX,LANE ACTIVE SAFETY-KEEP ASSIST
OCUKC,UKC,SIDE ACTIVE SAFETY-OBSTACLE DETECTION ENHANCED
OCUVX,UVX,SENSOR INDICATOR-TRAFFIC SIGN RECOGNITION ENHANCED
OCZ49,Z49,COUNTRY-CANADA
